CMPLNT_NUM,LAW_CAT_CD,OFNS_DESC,RPT_DT,Latitude,Longitude,Lat_Lon,index_right,BoroCode,BoroName,NTA_Code_x,NTAName,NTAAbbrev,NTAType,CDTA2020,CDTAName,Shape_Leng,Shape_Area,Neighborhood,Population_x,Borough,Year,FIPS County Code,NTA_Code_y,Population_y
292542564,F,RAPE,8/30/2024,40.67113,-73.91350206,"(40.6711300016904, -73.9135020552048)",52,3,Brooklyn,BK1601,Ocean Hill,OcnHl,0,BK16,BK16 Ocean Hill-Brownsville (CD 16 Approximation),22493.61406,20090098.28,Ocean Hill,,Brooklyn,2000,47,BK79,30067
292542564,F,RAPE,8/30/2024,40.67113,-73.91350206,"(40.6711300016904, -73.9135020552048)",52,3,Brooklyn,BK1601,Ocean Hill,OcnHl,0,BK16,BK16 Ocean Hill-Brownsville (CD 16 Approximation),22493.61406,20090098.28,Ocean Hill,,Brooklyn,2010,47,BK79,31935
298487164,F,ARSON,12/26/2024,40.878619,-73.8669,"(40.878619, -73.8669)",111,2,Bronx,BX1201,Williamsbridge-Olinville,Wllmsbrdg,0,BX12,BX12 Wakefield-Williamsbridge-Eastchester (CD 12 Approximation),29370.8199,36242274.08,Williamsbridge-Olinville,,Bronx,2000,5,BX44,57420
298487164,F,ARSON,12/26/2024,40.878619,-73.8669,"(40.878619, -73.8669)",111,2,Bronx,BX1201,Williamsbridge-Olinville,Wllmsbrdg,0,BX12,BX12 Wakefield-Williamsbridge-Eastchester (CD 12 Approximation),29370.8199,36242274.08,Williamsbridge-Olinville,,Bronx,2010,5,BX44,61321
287880584,V,HARRASSMENT 2,6/2/2024,40.6274,-74.142254,"(40.6274, -74.142254)",244,5,Staten Island,SI0106,Port Richmond,PrtRchmnd,0,SI01,SI01 North Shore (CD 1 Equivalent),39708.16109,36236919.44,Port Richmond,,Staten Island,2000,85,SI28,18042
287880584,V,HARRASSMENT 2,6/2/2024,40.6274,-74.142254,"(40.6274, -74.142254)",244,5,Staten Island,SI0106,Port Richmond,PrtRchmnd,0,SI01,SI01 North Shore (CD 1 Equivalent),39708.16109,36236919.44,Port Richmond,,Staten Island,2010,85,SI28,20191
282003835,F,GRAND LARCENY,2/10/2024,40.626468,-74.00998,"(40.626468, -74.00998)",32,3,Brooklyn,BK1002,Dyker Heights,DykrHts,0,BK10,BK10 Bay Ridge-Dyker Heights (CD 10 Approximation),25001.4907,29119073.24,Dyker Heights,,Brooklyn,2000,47,BK30,39332
282003835,F,GRAND LARCENY,2/10/2024,40.626468,-74.00998,"(40.626468, -74.00998)",32,3,Brooklyn,BK1002,Dyker Heights,DykrHts,0,BK10,BK10 Bay Ridge-Dyker Heights (CD 10 Approximation),25001.4907,29119073.24,Dyker Heights,,Brooklyn,2010,47,BK30,42419
283002031,M,OFFENSES AGAINST PUBLIC ADMINI,2/28/2024,40.619553,-74.038834,"(40.619553, -74.038834)",31,3,Brooklyn,BK1001,Bay Ridge,ByRdg,0,BK10,BK10 Bay Ridge-Dyker Heights (CD 10 Approximation),41302.39354,61636886.6,Bay Ridge,,Brooklyn,2000,47,BK31,80539
283002031,M,OFFENSES AGAINST PUBLIC ADMINI,2/28/2024,40.619553,-74.038834,"(40.619553, -74.038834)",31,3,Brooklyn,BK1001,Bay Ridge,ByRdg,0,BK10,BK10 Bay Ridge-Dyker Heights (CD 10 Approximation),41302.39354,61636886.6,Bay Ridge,,Brooklyn,2010,47,BK31,79371
289154353,M,CRIMINAL MISCHIEF & RELATED OF,6/26/2024,40.6189,-74.014266,"(40.6189, -74.014266)",32,3,Brooklyn,BK1002,Dyker Heights,DykrHts,0,BK10,BK10 Bay Ridge-Dyker Heights (CD 10 Approximation),25001.4907,29119073.24,Dyker Heights,,Brooklyn,2000,47,BK30,39332
289154353,M,CRIMINAL MISCHIEF & RELATED OF,6/26/2024,40.6189,-74.014266,"(40.6189, -74.014266)",32,3,Brooklyn,BK1002,Dyker Heights,DykrHts,0,BK10,BK10 Bay Ridge-Dyker Heights (CD 10 Approximation),25001.4907,29119073.24,Dyker Heights,,Brooklyn,2010,47,BK30,42419
282887025,M,OFFENSES INVOLVING FRAUD,2/27/2024,40.6140087,-74.03263597,"(40.61400869986788, -74.03263596719296)",31,3,Brooklyn,BK1001,Bay Ridge,ByRdg,0,BK10,BK10 Bay Ridge-Dyker Heights (CD 10 Approximation),41302.39354,61636886.6,Bay Ridge,,Brooklyn,2000,47,BK31,80539
282887025,M,OFFENSES INVOLVING FRAUD,2/27/2024,40.6140087,-74.03263597,"(40.61400869986788, -74.03263596719296)",31,3,Brooklyn,BK1001,Bay Ridge,ByRdg,0,BK10,BK10 Bay Ridge-Dyker Heights (CD 10 Approximation),41302.39354,61636886.6,Bay Ridge,,Brooklyn,2010,47,BK31,79371
289987412,F,GRAND LARCENY,7/12/2024,40.62995,-74.140255,"(40.62995, -74.140255)",244,5,Staten Island,SI0106,Port Richmond,PrtRchmnd,0,SI01,SI01 North Shore (CD 1 Equivalent),39708.16109,36236919.44,Port Richmond,,Staten Island,2000,85,SI28,18042
289987412,F,GRAND LARCENY,7/12/2024,40.62995,-74.140255,"(40.62995, -74.140255)",244,5,Staten Island,SI0106,Port Richmond,PrtRchmnd,0,SI01,SI01 North Shore (CD 1 Equivalent),39708.16109,36236919.44,Port Richmond,,Staten Island,2010,85,SI28,20191
295895372,M,PETIT LARCENY,11/3/2024,40.576505,-74.115294,"(40.576505, -74.115294)",248,5,Staten Island,SI0202,New Dorp-Midland Beach,NwDrp_MBch,0,SI02,SI02 Mid-Island (CD 2 Approximation),50207.45273,62182628.81,New Dorp-Midland Beach,,Staten Island,2000,85,SI45,20242
295895372,M,PETIT LARCENY,11/3/2024,40.576505,-74.115294,"(40.576505, -74.115294)",248,5,Staten Island,SI0202,New Dorp-Midland Beach,NwDrp_MBch,0,SI02,SI02 Mid-Island (CD 2 Approximation),50207.45273,62182628.81,New Dorp-Midland Beach,,Staten Island,2010,85,SI45,21896
298405758,M,PETIT LARCENY,12/23/2024,40.636818,-74.118652,"(40.636818, -74.118652)",244,5,Staten Island,SI0106,Port Richmond,PrtRchmnd,0,SI01,SI01 North Shore (CD 1 Equivalent),39708.16109,36236919.44,Port Richmond,,Staten Island,2000,85,SI28,18042
298405758,M,PETIT LARCENY,12/23/2024,40.636818,-74.118652,"(40.636818, -74.118652)",244,5,Staten Island,SI0106,Port Richmond,PrtRchmnd,0,SI01,SI01 North Shore (CD 1 Equivalent),39708.16109,36236919.44,Port Richmond,,Staten Island,2010,85,SI28,20191
296878756,V,HARRASSMENT 2,11/20/2024,40.62279866,-74.02834995,"(40.62279866219678, -74.02834994870356)",31,3,Brooklyn,BK1001,Bay Ridge,ByRdg,0,BK10,BK10 Bay Ridge-Dyker Heights (CD 10 Approximation),41302.39354,61636886.6,Bay Ridge,,Brooklyn,2000,47,BK31,80539
296878756,V,HARRASSMENT 2,11/20/2024,40.62279866,-74.02834995,"(40.62279866219678, -74.02834994870356)",31,3,Brooklyn,BK1001,Bay Ridge,ByRdg,0,BK10,BK10 Bay Ridge-Dyker Heights (CD 10 Approximation),41302.39354,61636886.6,Bay Ridge,,Brooklyn,2010,47,BK31,79371
289781758,F,GRAND LARCENY OF MOTOR VEHICLE,7/9/2024,40.604321,-74.013176,"(40.604321, -74.013176)",36,3,Brooklyn,BK1102,Bath Beach,BthBch,0,BK11,BK11 Bensonhurst-Bath Beach (CD 11 Approximation),22422.37382,20556458.01,Bath Beach,,Brooklyn,2000,47,BK27,28572
289781758,F,GRAND LARCENY OF MOTOR VEHICLE,7/9/2024,40.604321,-74.013176,"(40.604321, -74.013176)",36,3,Brooklyn,BK1102,Bath Beach,BthBch,0,BK11,BK11 Bensonhurst-Bath Beach (CD 11 Approximation),22422.37382,20556458.01,Bath Beach,,Brooklyn,2010,47,BK27,29931
292236105,M,PETIT LARCENY,8/24/2024,40.618178,-74.039379,"(40.618178, -74.039379)",31,3,Brooklyn,BK1001,Bay Ridge,ByRdg,0,BK10,BK10 Bay Ridge-Dyker Heights (CD 10 Approximation),41302.39354,61636886.6,Bay Ridge,,Brooklyn,2000,47,BK31,80539
292236105,M,PETIT LARCENY,8/24/2024,40.618178,-74.039379,"(40.618178, -74.039379)",31,3,Brooklyn,BK1001,Bay Ridge,ByRdg,0,BK10,BK10 Bay Ridge-Dyker Heights (CD 10 Approximation),41302.39354,61636886.6,Bay Ridge,,Brooklyn,2010,47,BK31,79371
285435976,M,OFFENSES AGAINST PUBLIC ADMINI,4/16/2024,40.63886517,-74.02271209,"(40.6388651705916, -74.0227120876572)",31,3,Brooklyn,BK1001,Bay Ridge,ByRdg,0,BK10,BK10 Bay Ridge-Dyker Heights (CD 10 Approximation),41302.39354,61636886.6,Bay Ridge,,Brooklyn,2000,47,BK31,80539
285435976,M,OFFENSES AGAINST PUBLIC ADMINI,4/16/2024,40.63886517,-74.02271209,"(40.6388651705916, -74.0227120876572)",31,3,Brooklyn,BK1001,Bay Ridge,ByRdg,0,BK10,BK10 Bay Ridge-Dyker Heights (CD 10 Approximation),41302.39354,61636886.6,Bay Ridge,,Brooklyn,2010,47,BK31,79371
292025348,M,SEX CRIMES,8/21/2024,40.63886517,-74.02271209,"(40.6388651705916, -74.0227120876572)",31,3,Brooklyn,BK1001,Bay Ridge,ByRdg,0,BK10,BK10 Bay Ridge-Dyker Heights (CD 10 Approximation),41302.39354,61636886.6,Bay Ridge,,Brooklyn,2000,47,BK31,80539
292025348,M,SEX CRIMES,8/21/2024,40.63886517,-74.02271209,"(40.6388651705916, -74.0227120876572)",31,3,Brooklyn,BK1001,Bay Ridge,ByRdg,0,BK10,BK10 Bay Ridge-Dyker Heights (CD 10 Approximation),41302.39354,61636886.6,Bay Ridge,,Brooklyn,2010,47,BK31,79371
290734946,F,CRIMINAL MISCHIEF & RELATED OF,7/27/2024,40.62851069,-74.12866291,"(40.628510694499084, -74.12866290597215)",244,5,Staten Island,SI0106,Port Richmond,PrtRchmnd,0,SI01,SI01 North Shore (CD 1 Equivalent),39708.16109,36236919.44,Port Richmond,,Staten Island,2000,85,SI28,18042
290734946,F,CRIMINAL MISCHIEF & RELATED OF,7/27/2024,40.62851069,-74.12866291,"(40.628510694499084, -74.12866290597215)",244,5,Staten Island,SI0106,Port Richmond,PrtRchmnd,0,SI01,SI01 North Shore (CD 1 Equivalent),39708.16109,36236919.44,Port Richmond,,Staten Island,2010,85,SI28,20191
292075097,M,PETIT LARCENY,8/21/2024,40.628675,-74.024459,"(40.628675, -74.024459)",31,3,Brooklyn,BK1001,Bay Ridge,ByRdg,0,BK10,BK10 Bay Ridge-Dyker Heights (CD 10 Approximation),41302.39354,61636886.6,Bay Ridge,,Brooklyn,2000,47,BK31,80539
292075097,M,PETIT LARCENY,8/21/2024,40.628675,-74.024459,"(40.628675, -74.024459)",31,3,Brooklyn,BK1001,Bay Ridge,ByRdg,0,BK10,BK10 Bay Ridge-Dyker Heights (CD 10 Approximation),41302.39354,61636886.6,Bay Ridge,,Brooklyn,2010,47,BK31,79371
284542905,F,GRAND LARCENY OF MOTOR VEHICLE,3/30/2024,40.620757,-74.028114,"(40.620757, -74.028114)",31,3,Brooklyn,BK1001,Bay Ridge,ByRdg,0,BK10,BK10 Bay Ridge-Dyker Heights (CD 10 Approximation),41302.39354,61636886.6,Bay Ridge,,Brooklyn,2000,47,BK31,80539
284542905,F,GRAND LARCENY OF MOTOR VEHICLE,3/30/2024,40.620757,-74.028114,"(40.620757, -74.028114)",31,3,Brooklyn,BK1001,Bay Ridge,ByRdg,0,BK10,BK10 Bay Ridge-Dyker Heights (CD 10 Approximation),41302.39354,61636886.6,Bay Ridge,,Brooklyn,2010,47,BK31,79371
281604558,M,PETIT LARCENY,2/3/2024,40.634042,-74.022265,"(40.634042, -74.022265)",31,3,Brooklyn,BK1001,Bay Ridge,ByRdg,0,BK10,BK10 Bay Ridge-Dyker Heights (CD 10 Approximation),41302.39354,61636886.6,Bay Ridge,,Brooklyn,2000,47,BK31,80539
281604558,M,PETIT LARCENY,2/3/2024,40.634042,-74.022265,"(40.634042, -74.022265)",31,3,Brooklyn,BK1001,Bay Ridge,ByRdg,0,BK10,BK10 Bay Ridge-Dyker Heights (CD 10 Approximation),41302.39354,61636886.6,Bay Ridge,,Brooklyn,2010,47,BK31,79371
